"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00%","1.00%","2.81%","11.11%","13.89%","14.44%","14.99%","16.36%","15.16%","13.82%","14.43%","12.76%","14.58%","16.36%","14.38%","14.38%","14.53%","14.90%","14.80%","14.78%","13.44%","14.62%","12.82%","12.35%","12.67%","13.84%","11.90%","13.61%","13.54%","14.06%","10.95%","11.03%","10.67%","12.03%","11.98%","12.86%","11.99%","12.98%","12.79%","13.58%","12.03%","12.21%","12.41%","13.84%","11.68%","12.51%","11.94%","12.61%","11.06%","10.72%","12.27%","11.97%","11.81%","11.92%","9.88%","10.38%","13.05%","12.77%","13.69%","14.75%","15.75%","14.29%","16.23%","16.23%","16.72%","15.52%","15.28%","15.85%","16.23%","17.00%","18.68%","18.99%","17.53%","19.48%","19.04%","18.52%","17.60%","18.31%","17.58%","17.50%","17.16%","15.94%","17.08%","16.32%","16.74%","15.97%","14.58%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00%","1.00%","1.37%","3.70%","4.76%","3.48%","4.65%","2.76%","4.84%","2.94%","4.16%","5.23%","4.11%","2.97%","4.63%","4.58%","4.00%","3.80%","4.83%","3.98%","4.11%","3.95%","3.98%","3.89%","4.57%","4.71%","4.13%","3.72%","3.72%","3.45%","3.61%","3.95%","4.45%","4.58%","3.95%","4.43%","5.14%","4.14%","3.85%","4.45%","4.75%","4.43%","3.00%","3.50%","3.69%","3.65%","4.23%","4.57%","4.53%","4.95%","4.82%","3.94%","4.31%","3.63%","4.70%","4.60%","4.49%","4.61%","4.04%","4.76%","6.56%","6.46%","4.83%","4.88%","5.33%","6.18%","5.76%","6.13%","5.09%","6.49%","6.77%","5.90%","7.42%","5.95%","7.19%","5.69%","6.55%","5.96%","5.66%","4.70%","5.43%","6.54%","6.75%","4.87%","5.46%","5.77%","6.01%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00%","0.00%","0.20%","10.37%","8.73%","10.43%","10.85%","9.68%","11.37%","8.81%","12.71%","12.13%","12.15%","11.90%","12.89%","10.78%","10.80%","9.44%","9.37%","9.75%","10.24%","10.04%","9.95%","9.21%","9.14%","8.36%","8.75%","8.12%","8.33%","9.37%","8.71%","8.90%","8.84%","9.23%","8.60%","8.18%","8.56%","8.54%","8.63%","10.41%","9.45%","8.74%","9.12%","9.18%","9.74%","9.91%","9.49%","8.56%","8.10%","8.06%","8.37%","9.08%","8.45%","8.20%","8.83%","9.34%","9.26%","9.67%","11.35%","12.13%","12.55%","13.65%","11.98%","15.01%","13.44%","14.06%","12.87%","13.18%","12.09%","12.42%","13.11%","13.40%","13.01%","11.96%","11.85%","11.39%","11.55%","11.61%","11.52%","11.84%","10.66%","11.30%","10.84%","12.05%","11.43%","11.75%","11.27%"
"","","","Box B (Small)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.00%","90.00%","72.28%","43.71%","33.34%","39.84%","36.43%","35.48%","33.48%","30.06%","32.76%","32.85%","29.72%","31.97%","34.05%","33.34%","33.46%","35.15%","34.74%","36.37%","36.93%","35.26%","38.78%","38.77%","39.62%","38.93%","40.09%","39.06%","39.61%","38.84%","40.80%","41.82%","42.26%","42.39%","43.70%","43.79%","42.12%","39.37%","43.49%","38.25%","38.93%","40.52%","39.37%","40.67%","41.66%","40.13%","40.17%","42.02%","43.75%","44.27%","42.13%","39.93%","43.45%","43.01%","44.13%","42.30%","40.63%","43.61%","42.38%","43.78%","40.93%","42.03%","44.73%","43.15%","43.38%","44.48%","45.44%","44.48%","44.55%","43.64%","41.90%","42.57%","44.10%","45.43%","44.89%","46.01%","47.07%","47.42%","48.11%","48.33%","48.32%","46.73%","47.79%","49.29%","47.74%","49.54%","51.09%"
"","","","Box F (Medium) ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.00%","11.00%","27.51%","45.92%","57.94%","49.74%","52.71%","54.83%","55.16%","61.15%","54.53%","55.02%","58.13%","56.13%","53.06%","55.89%","55.73%","55.41%","55.88%","53.88%","52.83%","54.70%","51.27%","52.02%","51.24%","52.70%","51.16%","52.81%","52.06%","51.79%","50.51%","49.27%","48.90%","48.37%","47.71%","48.04%","49.32%","52.08%","47.88%","51.34%","51.62%","50.75%","51.50%","50.15%","48.60%","49.97%","50.34%","49.42%","48.14%","47.67%","49.50%","50.98%","48.10%","48.80%","47.05%","48.36%","50.10%","46.71%","46.27%","44.09%","46.51%","44.32%","43.28%","41.84%","43.18%","41.46%","41.68%","42.35%","43.36%","43.93%","44.99%","44.03%","42.89%","42.62%","43.26%","42.60%","41.38%","40.97%","40.36%","39.83%","41.02%","41.97%","41.36%","38.66%","40.83%","38.70%","37.64%"
"","","","Box G (Large)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","0.20%","10.37%","8.73%","10.43%","10.85%","9.68%","11.37%","8.81%","12.71%","12.13%","12.15%","11.90%","12.89%","10.78%","10.80%","9.44%","9.37%","9.75%","10.24%","10.04%","9.95%","9.21%","9.14%","8.36%","8.75%","8.12%","8.33%","9.37%","8.71%","8.90%","8.84%","9.23%","8.60%","8.18%","8.56%","8.54%","8.63%","10.41%","9.45%","8.74%","9.12%","9.18%","9.74%","9.91%","9.49%","8.56%","8.10%","8.06%","8.37%","9.08%","8.45%","8.20%","8.83%","9.34%","9.26%","9.67%","11.35%","12.13%","12.55%","13.65%","11.98%","15.01%","13.44%","14.06%","12.87%","13.18%","12.09%","12.42%","13.11%","13.40%","13.01%","11.96%","11.85%","11.39%","11.55%","11.61%","11.52%","11.84%","10.66%","11.30%","10.84%","12.05%","11.43%","11.75%","11.27%"
"","SE","Total Boxes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","43","96","94","182","252","440","387","434","475","455","409","478","535","538","605","612","750","1,027","993","954","1,094","1,265","1,256","1336","1444","1423","1429","1477","1477","1622","1608","1595","1640","1571","1480","1174","584","772","1274","1642","1662","1671","1732","1655","1601","1615","1633","1554","1456","1353","1410","1420","1160","1158","1235","1435","1425","1323","1286","1261","1219","1099","1035","1066","975","825","746","751","844","1052","1169","1311","1492","1541","1550","1535","1609","1618","1543","1562","1497","1581","1547","1484","1384","1430"
"","","Box B (Small)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","70","42","61","101","161","138","146","143","150","135","143","172","184","202","205","264","357","362","353","386","491","487","530","563","571","559","586","574","662","673","675","696","687","648","495","230","336","488","640","674","658","705","690","643","649","687","680","645","571","564","617","499","512","523","584","622","561","564","517","513","492","447","463","434","375","332","335","369","441","498","579","678","692","714","723","763","779","746","755","700","756","763","709","686","731"
"","","Box F (Medium)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","27","44","106","126","232","213","240","291","249","226","278","301","286","339","342","416","574","536","504","599","649","654","685","761","729","755","769","765","820","793","780","794","750","711","580","305","370","655","848","844","861","869","805","801","813","808","749","695","670","719","684","567","545","598","719","666","613","567","587","541","476","434","461","405","344","316","326","371","474","515","563","636","667","661","636","660","654","615","641","629","654","599","606","536","539"
"","","Box G (Large)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","10","16","27","48","38","50","42","58","50","59","64","70","66","67","71","97","97","98","110","126","116","123","121","125","117","124","139","142","144","141","152","136","122","101","50","67","133","156","146","153","159","162","159","154","140","126","118","114","129","120","96","103","116","133","138","151","156","159","167","132","156","144","138","107","99","91","105","138","157","171","179","183","177","178","187","187","183","167","170","172","187","170","163","162"
"","ICE","Small ","2.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117.6","233.1","279.3","283.5","327.6","388.5","636.3","753.9","777","873.6","955.5","898.8","829.5","1113","1138.2","1190.7","1230.6","1362.9","1606.5","1806","1808.1","1902.6","2265.9","2505.3","2496.9","2704.8","2835","2696.4","2889.6","2780.4","2902.2","3215.1","3124.8","3070.2","3005.1","3101.7","2761.5","1736.7","1409.1","2223.9","2952.6","3162.6","3257.1","3141.6","3322.2","3355.8","3351.6","3271.8","3586.8","3410.4","3292.8","2961","3141.6","2851.8","2664.9","2820.3","3007.2","3120.6","3124.8","2952.6","3103.8","3082.8","3015.6","2856","2580.9","2727.9","2494.8","2236.5","2276.4","2494.8","2702.7","2889.6","3126.9","3378.9","3929.1","3990","","","","","","","","","","","",""
"","","Medium","4.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","58.8","172.2","252","529.2","869.4","1117.2","1654.8","1755.6","2041.2","2247","1982.4","1755.6","2293.2","2322.6","2276.4","2637.6","2986.2","3385.2","3943.8","3750.6","3670.8","4599","4905.6","4834.2","4985.4","5682.6","5132.4","5388.6","5409.6","5636.4","6060.6","5636.4","5485.2","5556.6","5439","4737.6","3343.2","2549.4","3494.4","5770.8","6262.2","6077.4","6274.8","6543.6","6195","6056.4","6216","6308.4","5766.6","5544","4943.4","5413.8","4880.4","4368","4460.4","4893","5426.4","4981.2","4662","4477.2","4872","4380.6","3973.2","3616.2","3876.6","3410.4","3032.4","2956.8","3309.6","3733.8","4187.4","4531.8","4662","5178.6","5283.6","","","","","","","","","","","",""
"","","Large","6.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4","25.6","134.4","166.4","326.4","448","371.2","576","467.2","531.2","518.4","595.2","627.2","684.8","665.6","787.2","736","915.2","876.8","896","1056","1094.4","1094.4","1139.2","1171.2","1132.8","1088","1158.4","1331.2","1408","1376","1228.8","1286.4","1190.4","1132.8","806.4","524.8","729.6","1350.4","1465.6","1356.8","1395.2","1414.4","1414.4","1446.4","1395.2","1312","1145.6","1043.2","1030.4","1209.6","1088","896","870.4","1062.4","1171.2","1222.4","1286.4","1523.2","1472","1568","1286.4","1446.4","1472","1420.8","1139.2","1081.6","1158.4","1350.4","1619.2","1721.6","1772.8","1888","1843.2","","","","","","","","","","","",""
"","","Total","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.6","291.9","457.9","561.1","991.2","1424.3","2079.9","2856.7","2903.8","3490.8","3669.7","3412.4","3103.5","4001.4","4088","4151.9","4533.8","5136.3","5727.7","6665","6435.5","6469.4","7920.9","8505.3","8425.5","8829.4","9688.8","8961.6","9366.2","9348","9869.8","10683.7","10137.2","9784.2","9848.1","9731.1","8631.9","5886.3","4483.3","6447.9","10073.8","10890.4","10691.3","10811.6","11280.2","10965.2","10854.4","10883","11207.2","10322.6","9880","8934.8","9765","8820.2","7928.9","8151.1","8962.6","9718.2","9328.4","8901","9104.2","9426.8","8964.2","8115.6","7643.5","8076.5","7326","6408.1","6314.8","6962.8","7786.9","8696.2","9380.3","9813.7","10995.7","11116.8","","","","","","","","","","","",""
"","","Buffer","10%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152.46","321.09","503.69","617.21","1090.32","1566.73","2287.89","3142.37","3194.18","3839.88","4036.67","3753.64","3413.85","4401.54","4496.8","4567.09","4987.18","5649.93","6300.47","7331.5","7079.05","7116.34","8712.99","9355.83","9268.05","9712.34","10657.68","9857.76","10302.82","10283.24","10856.78","11752.07","11150.92","10762.62","10832.91","10704.21","9495.09","6474.93","4931.63","7092.69","11081.18","11979.44","11760.43","11892.76","12408.22","12061.72","11939.84","11971.3","12327.92","11354.86","10868","9828.28","10741.5","9702.22","8721.79","8966.21","9858.86","10690.02","10261.24","9791.1","10014.62","10369.48","9860.62","8927.16","8407.85","8884.15","8058.6","7048.91","6946.28","7659.08","8565.59","9565.82","10318.33","10795.07","12095.27","12228.48","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9689","8962","9366","9348","9870","10684","10137","9784","9848","9731","8632","5886","4483","6448","-1666","10890","10691","10812","11280","10965","10854","10883","11207","46731","9880","8935","-38715","8820","7929","8151","8963","9718","9328","8901","9104","9427","8964","8116","7644","8077","7326","6408","6315","6963","7787","8696","9380","9814","10996","11117","-45645","0","0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9689","8962","9366","9348","9870","10684","10137","9784","9848","9731","8632","5886","4483","6448","-1666","10890","10691","10812","11280","10965","10854","10883","11207","46731","9880","8935","-38715","8820","7929","8151","8963","9718","9328","8901","9104","9427","8964","8116","7644","8077","7326","6408","6315","6963","7787","8696","9380","9814","10996","11117","-45645","0","0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9689","8962","9366","9348","9870","10684","10137","9784","9848","9731","8632","5886","4483","6448","10074","10890","10691","10812","11280","10965","10854","10883","11207","10323","9880","8935","9765","8820","7929","8151","8963","9718","9328","8901","9104","9427","8964","8116","7644","8077","7326","6408","6315","6963","7787","8696","9380","9814","10996","11117","0","0","0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","NO Match","Match","Match","Match","Match","Match","Match","Match","Match","NO Match","Match","Match","NO Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","Match","NO Match","Match","Match","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ice in Pallets","7.8","7.2","7.5","7.5","7.9","8.6","8.1","7.8","7.9","7.8","6.9","4.7","3.6","5.2","8.1","8.7","8.6","8.7","9","8.8","8.7","8.7","9.0","8.3","7.9","7.2","7.8","7.1","6.4","6.5","7.2","7.8","7.5","7.1","7.3","7.6","7.2","6.5","6.1","6.5","5.9","5.1","5.1","5.6","6.2","7.0","7.5","7.9","8.8","8.9","0.0","0.0","0.0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Inventory after Week","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67272","58443","48754","122160","112794","103446","93576","82892","113939","104155","94307","84576","75944","70057","65574","59126","60792","49902","39210","28399","17119","6153","36483","25600","14393","8846","40150","31215","69930","61110","53181","45030","36067","26349","17021","8120","40199","30773","62992","54877","47233","39157","31831","25423","19108","12145","4358","-4338","-13718","-23532","-34528","-45645","","","","","","","","","","","",""
