"Meals - TK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","278","586","725","609","1,414","1,612","2,541","2,702","3,212","4,111","4,152","3,703","3,396","4,754","4,474","4,604","4,920","6,222","6,489","6,315","6,191","6,543","8,564","8,620","8,557","8,856","9,907","8,503","9,347","9,040","10,019","10,819","9,837","9,200","8,935","9,394","7,716","3,873","5,258","8,286","12,001","11,139","10,715","10,699","11,405","11,324","11,394","11,375","12,097","10,903","10,701","9,264","10,474","8,622","8,610","9,136","10,018","10,219","9,756","9,341","10,182","10,887","10,229","9,539","8,735","9,550","8,608","7,902","8,282","9,786","10,888","11,295","11,738","11,717","13,195","","","","","","","","","","","","",""
"Boxes - TV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","43","96","94","182","252","440","387","434","475","455","409","478","535","538","605","612","750","1,027","993","954","1,094","1,265","1,256","1,336","1,444","1,423","1,429","1,477","1,477","1,622","1,608","1,595","1,640","1,571","1,480","1,174","584","772","1,274","1,642","1,662","1,671","1,732","1,655","1,601","1,615","1,633","1,554","1,456","1,353","1,410","1,420","1,160","1,158","1,235","1,435","1,425","1,323","1,286","1,261","1,219","1,099","1,035","1,066","975","825","746","751","844","1,052","1,169","1,311","1,492","1,541","","","","","","","","","","","","",""
"Meals - TV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","199","459","527","1,385","2,020","3,473","3,115","3,446","3,900","3,663","3,382","3,939","4,441","4,412","4,979","4,994","6,134","8,216","7,994","7,613","8,719","10,158","9,885","10,434","11,278","11,114","11,089","11,447","11,432","12,668","12,349","12,218","12,546","12,128","11,201","8,934","4,450","6,019","9,708","13,136","13,246","13,067","13,562","12,992","12,552","12,694","12,901","12,168","11,182","10,418","10,998","11,147","8,990","8,940","9,510","11,016","11,243","10,372","10,275","10,018","10,081","9,078","8,363","8,869","8,015","6,815","6,117","6,188","6,870","8,690","9,738","10,908","12,384","12,652","","","","","","","","","","","","",""
"WoW Growth","","0%","30.56%","-37.22%","52.58%","15.62%","43.78%","15.48%","26.08%","22.91%","12.40%","10.78%","9.13%","10.75%","5.80%","8.92%","9.25%","3.81%","1.26%","6.55%","-1.44%","-0.34%","-4.75%","-8.85%","2.22%","-14.62%","-95.65%","6.23%","41.48%","29.76%","19.27%","15.97%","8.63%","4.63%","4.40%","6.48%","7.96%","1.75%","-2.49%","2.65%","-4.21%","6.39%","6.84%","2.58%","-0.23%","1.59%","10.04%","3.26%","7.09%","6.66%","7.19%","-3.23%","-7.63%","-0.91%","5.14%","-4.73%","-2.55%","-2.06%","7.29%","4.19%","0.97%","2.78%","7.66%","9.57%","1.51%","1.75%","10.07%","0.15%","-1.78%","-1.14%","3.54%","14.49%","-3.15%","-6.55%","2.45%","-6.48%","-6.12%","-10.18%","-78.52%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","28-Jun-2023","5-Jul-2023","12-Jul-2023","19-Jul-2023","26-Jul-2023","2-Aug-2023","9-Aug-2023","16-Aug-2023","23-Aug-2023","30-Aug-2023","6-Sep-2023","13-Sep-2023","20-Sep-2023","27-Sep-2023","4-Oct-2023","11-Oct-2023","18-Oct-2023","25-Oct-2023","1-Nov-2023","8-Nov-2023","15-Nov-2023","22-Nov-2023","29-Nov-2023","6-Dec-2023","13-Dec-2023","20-Dec-2023","27-Dec-2023","3-Jan-2024","10-Jan-2024","17-Jan-2024","24-Jan-2024","31-Jan-2024","7-Feb-2024","14-Feb-2024","21-Feb-2024","28-Feb-2024","6-Mar-2024","13-Mar-2024","20-Mar-2024","27-Mar-2024","3-Apr-2024","10-Apr-2024","17-Apr-2024","24-Apr-2024","1-May-2024","8-May-2024","15-May-2024","22-May-2024","29-May-2024","5-Jun-2024","12-Jun-2024","19-Jun-2024","26-Jun-2024","3-Jul-2024","10-Jul-2024","17-Jul-2024","24-Jul-2024","31-Jul-2024","7-Aug-2024","14-Aug-2024","21-Aug-2024","28-Aug-2024","4-Sep-2024","11-Sep-2024","18-Sep-2024","25-Sep-2024","2-Oct-2024","9-Oct-2024","16-Oct-2024","23-Oct-2024","30-Oct-2024","6-Nov-2024","13-Nov-2024","20-Nov-2024","27-Nov-2024","4-Dec-2024","11-Dec-2024","18-Dec-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2-Jul-2023","9-Jul-2023","16-Jul-2023","23-Jul-2023","30-Jul-2023","6-Aug-2023","13-Aug-2023","20-Aug-2023","27-Aug-2023","3-Sep-2023","10-Sep-2023","17-Sep-2023","24-Sep-2023","1-Oct-2023","8-Oct-2023","15-Oct-2023","22-Oct-2023","29-Oct-2023","5-Nov-2023","12-Nov-2023","19-Nov-2023","26-Nov-2023","3-Dec-2023","10-Dec-2023","17-Dec-2023","24-Dec-2023","31-Dec-2023","7-Jan-2024","14-Jan-2024","21-Jan-2024","28-Jan-2024","4-Feb-2024","11-Feb-2024","18-Feb-2024","25-Feb-2024","3-Mar-2024","10-Mar-2024","17-Mar-2024","24-Mar-2024","31-Mar-2024","7-Apr-2024","14-Apr-2024","21-Apr-2024","28-Apr-2024","5-May-2024","12-May-2024","19-May-2024","26-May-2024","2-Jun-2024","9-Jun-2024","16-Jun-2024","23-Jun-2024","30-Jun-2024","7-Jul-2024","14-Jul-2024","21-Jul-2024","28-Jul-2024","4-Aug-2024","11-Aug-2024","18-Aug-2024","25-Aug-2024","1-Sep-2024","8-Sep-2024","15-Sep-2024","22-Sep-2024","29-Sep-2024","6-Oct-2024","13-Oct-2024","20-Oct-2024","27-Oct-2024","3-Nov-2024","10-Nov-2024","17-Nov-2024","24-Nov-2024","1-Dec-2024","8-Dec-2024","15-Dec-2024","22-Dec-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Boxes","","136","198","141","206","243","448","533","729","942","1077","1216","1262","1414","1501","1648","1816","1888","1912","2046","2017","2010","1919","1763","1803","1573","804","889","1494","2072","2488","2957","3273","3490","3608","3846","4150","4226","4185","4252","4028","4467","4725","4878","4884","4903","5405","5584","5956","6386","6877","6727","6262","6167","6473","6191","6048","5976","6389","6681","6770","6978","7567","8314","8455","8863","9602","9828","9542","9546","9864","11489","11219","10480","10667","10002","9401","8543","4810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Box B (Small)","","81","118","84","123","144","266","316","432","559","639","721","748","838","890","977","1076","1119","1133","1212","1195","1191","1137","1045","1068","932","477","527","885","1228","1474","1752","1939","2068","2138","2279","2459","2504","2479","2519","2386","2646","2800","2890","2893","2905","3202","3308","3528","3783","4074","3985","3710","3653","3835","3668","3583","3540","3785","3958","4010","4134","4483","4925","5009","5250","5688","5822","5652","5655","5843","6806","6646","6208","6319","5925","5569","5061","2850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Box F (Medium)","","50","72","52","75","89","163","194","265","342","391","442","458","513","545","598","659","685","694","743","732","730","697","640","654","571","292","323","542","752","903","1073","1188","1266","1309","1395","1506","1533","1518","1543","1461","1621","1714","1770","1772","1779","1961","2026","2161","2317","2495","2440","2272","2237","2348","2246","2194","2168","2318","2424","2456","2531","2745","3016","3067","3215","3483","3565","3461","3463","3578","4168","4070","3802","3869","3628","3410","3099","1745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Box G (Large)","","7","9","7","10","11","21","24","33","43","49","55","57","64","68","75","82","85","87","93","91","91","87","80","82","71","37","41","68","94","112","134","148","158","163","174","187","191","189","192","182","202","213","220","220","221","244","252","269","288","310","303","282","278","292","279","273","269","288","301","305","315","341","375","381","399","433","443","430","430","444","518","505","472","481","451","424","385","217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Packaging Cost Breakdown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Box B (Small)","€0.31","€30.78","€44.46","€30.78","€45.22","€53.58","€85.33","€100.48","€137.60","€172.48","€198.40","€230.72","€239.36","€268.16","€284.80","€312.64","€344.32","€358.08","€362.56","€387.84","€382.40","€381.12","€363.84","€334.40","€341.76","€298.24","€152.64","€168.64","€269.93","€374.54","€449.57","€534.36","€591.40","€630.74","€652.09","€695.10","€750.00","€763.72","€756.10","€768.30","€727.73","€807.03","€854.00","€881.45","€882.37","€886.03","€976.61","€1,008.94","€1,076.04","€1,153.82","€1,242.57","€1,215.43","€1,131.55","€1,114.17","€1,169.68","€1,118.74","€1,092.82","€1,079.70","€1,154.43","€1,207.19","€1,223.05","€1,260.87","€1,367.32","€1,502.13","€1,527.75","€1,601.25","€1,734.84","€1,775.71","€1,723.86","€1,724.78","€1,782.12","€2,075.83","€2,027.03","€1,893.44","€1,927.30","€1,807.13","€1,698.55","€1,543.61","€869.25","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"Box F (Medium)","€0.51","€33.39","€48.51","€33.39","€49.14","€57.96","","€101.76","€139.39","€174.90","€201.40","€234.26","€242.74","€271.89","€288.85","€316.94","€349.27","€363.05","€367.82","€393.79","€387.96","€386.90","€369.41","€339.20","€346.62","€302.63","€154.76","€171.19","€275.88","€382.77","€459.63","€546.16","€604.69","€644.39","€666.28","€710.06","€766.55","€780.30","€772.66","€785.39","€743.65","€825.09","€872.43","€900.93","€901.95","€905.51","€998.15","€1,031.23","€1,099.95","€1,179.35","€1,269.96","€1,241.96","€1,156.45","€1,138.63","€1,195.13","€1,143.21","€1,116.75","€1,103.51","€1,179.86","€1,233.82","€1,250.10","€1,288.28","€1,397.21","€1,535.14","€1,561.10","€1,636.44","€1,772.85","€1,814.59","€1,761.65","€1,762.67","€1,821.20","€2,121.51","€2,071.63","€1,935.22","€1,969.32","€1,846.65","€1,735.69","€1,577.39","€888.21","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"Box G (Large)","€0.55","€2.72","€3.40","€2.72","€4.08","€4.08","€11.40","€13.68","€18.81","€23.37","€27.36","€31.35","€32.49","€36.48","€38.76","€42.75","€46.74","€48.45","€49.59","€53.01","€51.87","€51.87","€49.59","€45.60","€46.74","€40.47","€21.09","€23.37","€37.20","€51.42","€61.26","€73.30","€80.96","€86.43","€89.16","€95.18","€102.29","€104.48","€103.38","€105.02","€99.55","€110.49","€116.51","€120.34","€120.34","€120.89","€133.47","€137.84","€147.14","€157.54","€169.57","€165.74","€154.25","€152.07","€159.72","€152.61","€149.33","€147.14","€157.54","€164.65","€166.84","€172.31","€186.53","€205.13","€208.41","€218.25","€236.85","€242.32","€235.21","€235.21","€242.87","€283.35","€276.24","€258.18","€263.11","€246.70","€231.93","€210.60","€118.70","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"Total Cost ","","€66.89","€96.37","€66.89","€98.44","€115.62","€96.73","€215.92","€295.80","€370.75","€427.16","€496.33","€514.59","€576.53","€612.41","€672.33","€740.33","€769.58","€779.97","€834.64","€822.23","€819.89","€782.84","€719.20","€735.12","€641.34","€328.49","€363.20","€583.00","€808.73","€970.46","€1,153.82","€1,277.04","€1,361.56","€1,407.53","€1,500.33","€1,618.84","€1,648.49","€1,632.14","€1,658.71","€1,570.93","€1,742.61","€1,842.94","€1,902.72","€1,904.65","€1,912.42","€2,108.23","€2,178.02","€2,323.13","€2,490.70","€2,682.10","€2,623.13","€2,442.25","€2,404.86","€2,524.53","€2,414.57","€2,358.89","€2,330.36","€2,491.82","€2,605.65","€2,639.99","€2,721.45","€2,951.05","€3,242.39","€3,297.26","€3,455.94","€3,744.54","€3,832.62","€3,720.72","€3,722.65","€3,846.19","€4,480.69","€4,374.90","€4,086.84","€4,159.72","€3,900.47","€3,666.16","€3,331.59","€1,876.15","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"Stock on hand, boxes:","","different formula","same formula ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMALL","On hand","519","401","317","194","650","384","668","236","-323","238","117","-31","331","641","864","988","1069","1136","1124","1129","1138","1201","1356","3288","2356","1879","1352","467","439","165","213","74","406","968","1389","1930","2426","2947","3428","1042","-1604","-4404","-7294","-10187","-13092","-16294","-19602","-23130","-26913","-30987","-34972","-38682","-42335","-46170","-49838","-53421","-56961","-60746","-64704","-68714","-72848","-77331","-82256","-87265","-92515","-98203","-104025","-109677","-115332","-121175","-127981","-134627","-140835","-147154","-153079","-158648","-163709","-166559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Units ordered","600","","","","600","","600","","","1200","600","600","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","3000","","","","","1200","1200","1800","1800","2400","2700","2700","3000","3000","3000","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Inventory override","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIUM","On hand","550","478","426","351","262","99","505","240","498","707","865","1007","1094","1149","1151","1092","1007","913","770","638","508","411","371","2117","1546","1254","931","389","237","-66","61","73","607","1098","1503","1797","2064","2346","2603","1142","-479","-2193","-3963","-5735","-7514","-9475","-11501","-13662","-15979","-18474","-20914","-23186","-25423","-27771","-30017","-32211","-34379","-36697","-39121","-41577","-44108","-46853","-49869","-52936","-56151","-59634","-63199","-66660","-70123","-73701","-77869","-81939","-85741","-89610","-93238","-96648","-99747","-101492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Units ordered","600","","","","","","600","","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","2400","","","","","600","600","1200","1200","1800","1800","1800","1800","1800","1800","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Inventory override","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LARGE","On hand","593","584","577","567","556","535","511","478","435","386","331","274","210","142","67","585","500","413","320","229","138","51","801","2519","2448","2411","2370","2302","2208","2096","1962","1814","1656","1493","1319","1132","941","752","560","378","176","-37","-257","-477","-698","-942","-1194","-1463","-1751","-2061","-2364","-2646","-2924","-3216","-3495","-3768","-4037","-4325","-4626","-4931","-5246","-5587","-5962","-6343","-6742","-7175","-7618","-8048","-8478","-8922","-9440","-9945","-10417","-10898","-11349","-11773","-12158","-12375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Units ordered","600","","","","","","","","","","","","","","","600","","","","","","","830","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Inventory override","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Packaging assumptions:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","30.23%","","Box B (Small)","59.23%","","Box ID","Current Price","Price from 01/08","Price from 01/01/24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
