"","Slot","","Recipe Code","Recipe Name","","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W23","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","112"
"W23","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W23","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W23","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","0"
"W23","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W24","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","96"
"W24","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","96"
"W24","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","112"
"W24","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","80"
"W24","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W24","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W25","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","112"
"W25","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","96"
"W25","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","80"
"W25","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","96"
"W25","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W25","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W26","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","64"
"W26","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","64"
"W26","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","48"
"W26","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","48"
"W26","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W26","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W27","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","48"
"W27","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","64"
"W27","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","64"
"W27","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","TRUE","48"
"W27","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W27","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W28","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W28","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W28","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W28","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W28","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W28","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W29","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W29","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","48"
"W29","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W29","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","48"
"W29","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W29","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W30","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W30","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W30","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W30","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W30","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W30","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W30","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W31","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","48"
"W31","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W31","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W31","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W31","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W31","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W31","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W32","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","302","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","303","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","304","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","305","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","306","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","307","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W32","308","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W32","309","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","310","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W32","311","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W32","312","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","313","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","314","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","32"
"W32","315","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","316","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","317","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"W32","318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
"Week","Slot","","Recipe Code","Recipe Name","Recipe Name
English","Protein Type","Keto","Low Calorie","High Protein","","Recipe Score","Cost","Order","Order Amount"
"W33","301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#DIV/0!","#N/A","FALSE","0"
